Indicators ,Description,,,,
PNGASJP,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",,,,
PNGASUS,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",,,,
PNGASW,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",,,,
PNICK,"Nickel, melting grade, LME spot price, CIF European ports, US$ per metric tonne",,,,
PNRGW,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",,,,
POILAPSP,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel",,,,
POILAPSPW,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",,,,
POILBRE,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",,,,
POILDUB,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",,,,
POILWTI,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",,,,
POLVOIL,"Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric tonne",,,,
PORANG,"Oranges, miscellaneous oranges French import price, US$ per metric tonne",,,,
PPOIL,"Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne",,,,
PPORK,"Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound",,,,
PPOULT,"Poultry (chicken), Whole bird spot price, Georgia docks, US cents per pound",,,,
PPPEX,Implied PPP conversion rate,,,,
PPPGDP,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,,,,
PPPPC,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,,,,
PPPSH,Gross domestic product based on purchasing-power-parity (PPP) share of world total,,,,
PRAWMW,"Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",,,,
PRICENPQ,"Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne",,,,
PROIL,"Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton",,,,
PRUBB,"Rubber, No.1 Rubber Smoked Sheet, FOB Maylaysian/Singapore, US cents per pound",,,,
PSALM,"Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",,,,
PSAWMAL,"Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter",,,,
PSAWORE,"Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter",,,,
PSEAFW,Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices,,,,
PSHRI,"Shrimp, Frozen shell-on headless, block 16/20 count, Indian origin, C&F Japan, US$ per kilogram",,,,
PSMEA,"Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne",,,,
PSOFTW,Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices,,,,
PSOIL,"Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne",,,,
PSOYB,"Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne",,,,
PSUGAEEC,"Sugar, European import price, CIF Europe, US cents per pound",,,,
PSUGAISA,"Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound",,,,
PSUGAUSA,"Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound",,,,
PSUGAW,"Commodity Sugar Index includes European, Free market, and U.S. Price Indices",,,,
PSUNO,"Sunflower Oil, US export price from Gulf of Mexico, US$ per metric tonne",,,,
PTEA,"Tea, Mombasa, Kenya, Auction Price, US cents per kilogram",,,,
PTIMBW,Commodity Timber Index includes Hardwood and Softwood Price Indices,,,,
PTIN,"Tin, standard grade, LME spot price, US$ per metric tonne",,,,
PURAN,"Uranium, u3o8 restricted price, Nuexco exchange spot, US$ per pound",,,,
PVOILW,"Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",,,,
PWHEAMT,"Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne",,,,
PWOOLC,"Wool, coarse, 23 micron, Australian Wool Exchange spot quote, US cents per kilogram",,,,
PWOOLF,"Wool, fine, 19 micron, Australian Wool Exchange spot quote, US cents per kilogram",,,,
PWOOLW,Commodity Wool Index includes Coarse and Fine Wool Price Indices,,,,
PZINC,"Zinc, high grade 98% pure, US$ per metric tonne",,,,
TM_RPCH,Volume of imports of goods and services,,,,
TMG_RPCH,Volume of Imports of goods,,,,
TRADEPCH,Trade volume of goods and services,,,,
TTPCH,Terms of trade of goods and services,,,,
TTTPCH,Terms of trade of goods,,,,
TX_RPCH,Volume of exports of goods and services,,,,
TXG_RPCH,Volume of exports of goods,,,,
TXGM_D,Export price of manufactures,,,,
TXGM_DPCH,Export price of manufactures,,,,
NGDPRPPPPC,"Gross domestic product per capita, constant prices",,,,
C02,CG: Official reserve assets,,,,1
C04,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies, excluding financial derivatives)",,,,1
C06,CG: Official Reserves Assets; Foreign exchange; Securities,,,,1
C06A,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies), securities, of which issuer headquartered in reporting country but located abroad",,,,1
C08,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits",,,,1
C08A,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with other national central banks, BIS and IMF",,,,1
C08C,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered in the reporting country",,,,1
C08D,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered in the reporting country, of which located abroad",,,,1
C08F,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered outside the reporting country",,,,1
C08H,"CG: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered outside the reporting country, of which located in the reporting country",,,,1
C10,"CG: Official reserve assets, IMF reserve position",,,,1
C11,"CG: Official reserve assets, SDRs",,,,1
C12,"CG: Official reserve assets, gold (including gold deposits and, if appropriate, gold swapped)",,,,1
C12A,"CG: Official reserve assets, gold (including gold deposits and, if appropriate, gold swapped), volume in fine troy ounces",,,,1
C14,"CG: Official reserve assets, other claims (including financial derivatives)",,,,1
C14A,"CG: Official reserve assets, other claims, financial derivatives",,,,1
C14B,"CG: Official reserve assets, other claims, loans to nonbank nonresidents",,,,1
C14C,"CG: Official reserve assets, other claims, other",,,,1
C16,CG: Other foreign currency assets,,,,1
C16A,"CG: Other foreign currency assets, securities not included in official reserve assets",,,,1
C16B,"CG: Other foreign currency assets, deposits not included in official reserve assets",,,,1
C16C,"CG: Other foreign currency assets, loans not included in official reserve assets",,,,1
C16D,"CG: Other foreign currency assets, financial derivatives not included in official reserve assets",,,,1
C16E,"CG: Other foreign currency assets, gold not included in official reserve assets",,,,1
C16F,"CG: Other foreign currency assets, other",,,,1
C19,"CG: Foreign currency loans, securities, and deposits, total",,,,1
C19A,"CG: Foreign currency loans, securities, and deposits, principal, total",,,,1
C19AP,"CG: Foreign currency loans, securities, and deposits, principal, up to 1 month",,,,1
C19AR,"CG: Foreign currency loans, securities, and deposits, principal, more than 1 and up to 3 months",,,,1
C19AU,"CG: Foreign currency loans, securities, and deposits, principal, more than 3 months and up to 1 year",,,,1
C19B,"CG: Foreign currency loans, securities, and deposits, interest, total",,,,1
C19BP,"CG: Foreign currency loans, securities, and deposits, interest, up to 1 month",,,,1
C19BR,"CG: Foreign currency loans, securities, and deposits, interest, more than 1 and up to 3 months",,,,1
C19BU,"CG: Foreign currency loans, securities, and deposits, interest, more than 3 months and up to 1 year",,,,1
C19P,"CG: Foreign currency loans, securities, and deposits, up to 1 month",,,,1
C19R,"CG: Foreign currency loans, securities, and deposits, more than 1 and up to 3 months",,,,1
C19U,"CG: Foreign currency loans, securities, and deposits, more than 3 months and up to 1 year",,,,1
C20,"CG: Aggregate short and long positions in forwards and futures in foreign currencies vis-à-vis the domestic currency (including the forward leg of currency swaps), total",,,,1
C20P,"CG: Aggregate short and long positions in forwards and futures in foreign currencies vis-à-vis the domestic currency (including the forward leg of currency swaps), up to 1 month",,,,1
C20R,"CG: Aggregate short and long positions in forwards and futures in foreign currencies vis-à-vis the domestic currency (including the forward leg of currency swaps), more than 1 and up to 3 months",,,,1
C20U,"CG: Aggregate short and long positions in forwards and futures in foreign currencies vis-à-vis the domestic currency (including the forward leg of currency swaps), more than 3 months and up to 1 year",,,,1
C21,"CG: Other, total",,,,1
C21A,"CG: Other, outflows related to repos/reverse repos, total",,,,1
C21AP,"CG: Other, outflows related to repos/reverse repos, up to 1 month",,,,1
C21AR,"CG: Other, outflows related to repos/reverse repos, more than 1 and up to 3 months",,,,1
C21AU,"CG: Other, outflows related to repos/reverse repos, more than 3 months and up to 1 year",,,,1
C21B,"CG: Other, trade credit, total",,,,1
C21BP,"CG: Other, trade credit, up to 1 month",,,,1
C21BR,"CG: Other, trade credit, more than 1 and up to 3 months",,,,1
C21BU,"CG: Other, trade credit, more than 3 months and up to 1 year",,,,1
C21C,"CG: Other, other accounts payable, total",,,,1
C21CP,"CG: Other, other accounts payable, up to 1 month",,,,1
C21CR,"CG: Other, other accounts payable, more than 1 and up to 3 months",,,,1
C21CU,"CG: Other, other accounts payable, more than 3 months and up to 1 year",,,,1
C21P,"CG: Other, up to 1 month",,,,1
C21R,"CG: Other, more than 1 and up to 3 months",,,,1
C21U,"CG: Other, more than 3 months and up to 1 year",,,,1
C24,"CG: Contingent liabilities in foreign currency, total",,,,1
C24A,"CG: Contingent liabilities in foreign currency, collateral guarantees on debt falling due within 1 year, total",,,,1
C24AP,"CG: Contingent liabilities in foreign currency, collateral guarantees on debt falling due within 1 year, up to 1 month",,,,1
C24AR,"CG: Contingent liabilities in foreign currency, collateral guarantees on debt falling due within 1 year, more than 1 and up to 3 months",,,,1
C24AU,"CG: Contingent liabilities in foreign currency, collateral guarantees on debt falling due within 1 year, more than 3 months and up to 1 year",,,,1
C24B,"CG: Contingent liabilities in foreign currency, other contingent liabilities, total",,,,1
C24BP,"CG: Contingent liabilities in foreign currency, other contingent liabilities, up to 1 month",,,,1
C24BR,"CG: Contingent liabilities in foreign currency, other contingent liabilities, more than 1 and up to 3 months",,,,1
C24BU,"CG: Contingent liabilities in foreign currency, other contingent liabilities, more than 3 months and up to 1 year",,,,1
C24P,"CG: Contingent liabilities in foreign currency, up to 1 month",,,,1
C24R,"CG: Contingent liabilities in foreign currency, more than 1 and up to 3 months",,,,1
C24U,"CG: Contingent liabilities in foreign currency, more than 3 months and up to 1 year",,,,1
C26,"CG: Foreign currency securities issued with embedded options (puttable bonds), total",,,,1
C28,"CG: Undrawn, unconditional credit lines, total",,,,1
C28A,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities, BIS, IMF, and other international organizations, total",,,,1
C28AP,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities, BIS, IMF, and other international organizations, up to 1 month",,,,1
C28AR,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities, BIS, IMF, and other international organizations, more than 1 and up to 3 months",,,,1
C28AU,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities, BIS, IMF, and other international organizations, more than 3 months and up to 1 year",,,,1
C28B,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities (pos), total",,,,1
C28BP,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities (pos), up to 1 month",,,,1
C28BR,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities (pos), more than 1 and up to 3 months",,,,1
C28BU,"CG: Undrawn, unconditional credit lines provided by other national monetary authorities (pos), more than 3 months and up to 1 year",,,,1
C28C,"CG: Undrawn, unconditional credit lines provided by BIS (pos), total",,,,1
C28CP,"CG: Undrawn, unconditional credit lines provided by BIS (pos), up to 1 month",,,,1
C28CR,"CG: Undrawn, unconditional credit lines provided by BIS (pos), more than 1 and up to 3 months",,,,1
C28CU,"CG: Undrawn, unconditional credit lines provided by BIS (pos), more than 3 months and up to 1 year",,,,1
C28D,"CG: Undrawn, unconditional credit lines provided by IMF (pos), total",,,,1
C28DP,"CG: Undrawn, unconditional credit lines provided by IMF (pos), up to 1 month",,,,1
C28DR,"CG: Undrawn, unconditional credit lines provided by IMF (pos), more than 1 and up to 3 months",,,,1
C28DU,"CG: Undrawn, unconditional credit lines provided by IMF (pos), more than 3 months and up to 1 year",,,,1
C28F,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered in the reporting country (pos), total",,,,1
C28FP,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered in the reporting country (pos), up to 1 month",,,,1
C28FR,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered in the reporting country (pos), more than 1 and up to 3 months",,,,1
C28FU,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered in the reporting country (pos), more than 3 months and up to 1 year",,,,1
C28G,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered outside the reporting country (pos), total",,,,1
C28GP,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered outside the reporting country (pos), up to 1 month",,,,1
C28GR,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered outside the reporting country (pos), more than 1 and up to 3 months",,,,1
C28GU,"CG: Undrawn, unconditional credit lines, with banks and other financial institutions headquartered outside the reporting country (pos), more than 3 months and up to 1 year",,,,1
C28P,"CG: Undrawn, unconditional credit lines, up to 1 month",,,,1
C28R,"CG: Undrawn, unconditional credit lines, more than 1 and up to 3 months",,,,1
C28U,"CG: Undrawn, unconditional credit lines, more than 3 months and up to 1 year",,,,1
C30,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , total",,,,1
C30A,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , bought/written calls, total",,,,1
C30AP,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , bought/written calls, up to 1 month",,,,1
C30AR,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , bought/written calls, more than 1 and up to 3 months",,,,1
C30AU,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , bought/written calls, more than 3 months and up to 1 year",,,,1
C30B,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , short positions, bought puts, total",,,,1
C30BP,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , bought/written puts, up to 1 month",,,,1
C30BR,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , bought/written puts, more than 1 and up to 3 months",,,,1
C30BU,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , bought/written puts, more than 3 months and up to 1 year",,,,1
C30P,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , up to 1 month",,,,1
C30R,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , more than 1 and up to 3 months",,,,1
C30U,"CG: Aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency , more than 3 months and up to 1 year",,,,1
C32A,"CG: In-the-money options, at current exchange rates, total",,,,1
C32AP,"CG: In-the-money options, at current exchange rates, up to 1 month",,,,1
C32AR,"CG: In-the-money options, at current exchange rates, more than 1 and up to 3 months",,,,1
C32AU,"CG: In-the-money options, at current exchange rates, more than 3 months and up to 1 year",,,,1
C32B,"CG: In-the-money options, plus 5% (depreciation of 5%), total",,,,1
C32BP,"CG: In-the-money options, plus 5% (depreciation of 5%), up to 1 month",,,,1
C32BR,"CG: In-the-money options, plus 5% (depreciation of 5%), more than 1 and up to 3 months",,,,1
C32BU,"CG: In-the-money options, plus 5% (depreciation of 5%), more than 3 months and up to 1 year",,,,1
C32C,"CG: In-the-money options, -5% (appreciation of 5%), total",,,,1
C32CP,"CG: In-the-money options, -5% (appreciation of 5%), up to 1 month",,,,1
C32CR,"CG: In-the-money options, -5% (appreciation of 5%), more than 1 and up to 3 months",,,,1
C32CU,"CG: In-the-money options, -5% (appreciation of 5%), more than 3 months and up to 1 year",,,,1
C32D,"CG: In-the-money options, plus 10% (depreciation of 10%), total",,,,1
C32DP,"CG: In-the-money options, plus 10% (depreciation of 10%), up to 1 month",,,,1
C32DR,"CG: In-the-money options, plus 10% (depreciation of 10%), more than 1 and up to 3 months",,,,1
C32DU,"CG: In-the-money options, plus 10% (depreciation of 10%), more than 3 months and up to 1 year",,,,1
C32E,"CG: In-the-money options, -10% (appreciation of 10%), total",,,,1
C32EP,"CG: In-the-money options, -10% (appreciation of 10%), up to 1 month",,,,1
C32ER,"CG: In-the-money options, -10% (appreciation of 10%), more than 1 and up to 3 months",,,,1
C32EU,"CG: In-the-money options, -10% (appreciation of 10%), more than 3 months and up to 1 year",,,,1
C32F,"CG: In-the-money options, other, total",,,,1
C32FP,"CG: In-the-money options, other, up to 1 month",,,,1
C32FR,"CG: In-the-money options, other, more than 1 and up to 3 months",,,,1
C32FU,"CG: In-the-money options, other, more than 3 months and up to 1 year",,,,1
C34,CG: Short-term domestic currency debt indexed to the exchange rate,,,,1
C36,"CG: Financial instruments denominated in foreign currency and settled by other means (e.g., in domestic currency)",,,,1
C36A,"CG: Financial instruments denominated in foreign currency and settled by other means (e.g., in domestic currency), nondeliverable forwards",,,,1
C36B,"CG: Financial instruments denominated in foreign currency and settled by other means (e.g., in domestic currency), other instruments",,,,1
C38,CG: Pledged assets,,,,1
C38A,"CG: Pledged assets, included in reserve assets",,,,1
C38B,"CG: Pledged assets, included in other foreign currency assets",,,,1
C40,CG: Securities lent and on repo,,,,1
C40A,"CG: Securities lent and on repo, lent or repoed and included in Section I",,,,1
C40B,"CG: Securities lent and on repo, lent or repoed but not included in Section I",,,,1
C40M,"CG: Securities lent and on repo, borrowed or acquired and included in Section I",,,,1
C40N,"CG: Securities lent and on repo, borrowed or acquired but not included in Section I",,,,1
C42,"CG: Financial derivative assets (net, marked to market)",,,,1
C42A,"CG: Financial derivative assets (net, marked to market), forwards",,,,1
C42B,"CG: Financial derivative assets (net, marked to market), futures",,,,1
C42C,"CG: Financial derivative assets (net, marked to market), swaps",,,,1
C42D,"CG: Financial derivative assets (net, marked to market), options",,,,1
C42E,"CG: Financial derivative assets (net, marked to market), other",,,,1
C44,"CG: Derivatives (forward, futures, or options contracts) that have a residual maturity greater than one year, which are subject to margin calls",,,,1
C44A,"CG: Derivatives (residual maturity greater than 1 year), which are subject to margin calls, aggreg. short and long positions in forwards and futures in foreign currencies vis-à-vis the domestic currency (incl. the forward leg of curr. swaps)",,,,1
C44B,"CG: Derivatives (forward, futures, or options contracts) that have a residual maturity greater than 1 year, which are subject to margin calls, aggreg. short and long positions of options in foreign currencies vis-à-vis the domestic currency",,,,1
C44C,"CG: Derivatives (residual maturity greater than one year), which are subject to margin calls., aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency, short positions, bought/written puts",,,,1
C44D,"CG: Derivatives (residual maturity greater than one year), which are subject to margin calls., aggregate short and long positions of options in foreign currencies vis-à-vis the domestic currency, short positions, bought/written calls",,,,1
C46,CG: Currency composition of reserves (by groups of currencies),,,,1
C46A,"CG: Currency composition of reserves (by groups of currencies), currencies in SDR basket",,,,1
C46B,"CG: Currency composition of reserves (by groups of currencies), currencies not in SDR basket",,,,1
D840,Reserves Assets foreign exchange GBP,,,,1
Z02,MA: Official reserve assets,,,,1
Z04,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies, excluding financial derivatives)",,,,1
Z06,MA: Official Reserves Assets; Foreign exchange; Securities,,,,1
Z06A,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies), securities, of which issuer headquartered in reporting country but located abroad",,,,1
Z08,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits",,,,1
Z08A,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with other national central banks, BIS and IMF",,,,1
Z08C,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered in the reporting country",,,,1
Z08D,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered in the reporting country, of which located abroad",,,,1
Z08F,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered outside the reporting country",,,,1
Z08H,"MA: Official reserve assets, foreign currency reserves (in convertible foreign currencies), total currency and deposits with banks headquartered outside the reporting country, of which located in the reporting country",,,,1
Z10,"MA: Official reserve assets, IMF reserve position",,,,1
Z11,"MA: Official reserve assets, SDRs",,,,1
Z12,"MA: Official reserve assets, gold (including gold deposits and, if appropriate, gold swapped)",,,,1
Z12A,"MA: Official reserve assets, gold (including gold deposits and, if appropriate, gold swapped), volume in fine troy ounces",,,,1
Z14,"MA: Official reserve assets, other claims (including financial derivatives)",,,,1
Z14A,"MA: Official reserve assets, other claims, financial derivatives",,,,1
Z14B,"MA: Official reserve assets, other claims, loans to nonbank nonresidents",,,,1
Z14C,"MA: Official reserve assets, other claims, other",,,,1
Z16,MA: Other foreign currency assets,,,,1
Z16A,"MA: Other foreign currency assets, securities not included in official reserve assets",,,,1
Z16B,"MA: Other foreign currency assets, deposits not included in official reserve assets",,,,1
Z16C,"MA: Other foreign currency assets, loans not included in official reserve assets",,,,1
Z16D,"MA: Other foreign currency assets, financial derivatives not included in official reserve assets",,,,1
Z16E,"MA: Other foreign currency assets, gold not included in official reserve assets",,,,1
Z16F,"MA: Other foreign currency assets, other",,,,1
Z19,"MA: Foreign currency loans, securities, and deposits, total",,,,1
Z19A,"MA: Foreign currency loans, securities, and deposits, principal, total",,,,1
